"","SA","cancer","type"
"5f057a65-5c32-4a97-ac8f-051e9fa50302",0.0295342490279004,"BLCA","tumor"
"de0477f7-ed87-484c-b59b-9f3773f71b05",0.0602138088361013,"BLCA","tumor"
"d4b6fa57-a62d-4451-aac8-328a43dcaf05",0.341691234504001,"BLCA","tumor"
"adc8f806-7e6e-4547-bedc-9b32f10ea709",0.0176452568623298,"BLCA","tumor"
"2c03f87d-6aa1-41c2-8a78-454b8455320c",0.0330353163977122,"BLCA","tumor"
"f6788a89-a4c8-4863-859e-a94e3d64c10e",0.0871949498473805,"BLCA","tumor"
"8e692295-a61a-49e0-88b1-3498ba20b10e",0.083836309954184,"BLCA","tumor"
"4f272bad-b5cf-4455-8333-40a4baf2a20f",0.0777076903568139,"BLCA","tumor"
"9b1d6277-4356-42ab-ad8d-24b260d17c10",0.0795431280335589,"BLCA","tumor"
"b5359aa3-db8c-46e9-9240-8becfc76ff11",0.324949657774915,"BLCA","tumor"
"f7fc684a-10b6-4546-8ff5-76bc2a64c514",0.519865101366271,"BLCA","tumor"
"319edcee-dc90-4fe0-a03e-ee14026ca91b",0.0634503845039175,"BLCA","tumor"
"0a3ab174-07d0-4396-a6c5-9eceebe8651c",0.105979972540823,"BLCA","tumor"
"285269a3-bad7-4958-be76-66521529881d",0.0372574780503643,"BLCA","tumor"
"b03e342c-7da6-4d7d-95f6-c6506b374627",0.275753909442053,"BLCA","tumor"
"85363c3b-1793-4b41-8015-c5450c1d5428",0.0138407859768647,"BLCA","tumor"
"86acc3dd-a9e8-4fda-acf9-33175ce06629",0.019196120772561,"BLCA","tumor"
"a72cafbf-c3e4-4518-ae38-16a3b3914d2b",0.0755611526908486,"BLCA","tumor"
"0c442324-7e9c-45e8-afbc-968e27c5412e",0.0115485748542719,"BLCA","tumor"
"92a7e918-fd15-40ff-8dfa-4a7c9a916230",0.0103405240872532,"BLCA","tumor"
"65f43000-6ad8-4c9a-af16-737f60f13f31",0.0905520103280724,"BLCA","tumor"
"4b6ddd8e-ab89-4c9d-8d48-ad81b8fb4a31",0.0648991637392651,"BLCA","tumor"
"1b23cf8b-c6f4-49f3-8f5f-4466ef83d032",0.0477130554304985,"BLCA","tumor"
"2d07a1bf-0304-4276-98cb-91eb72552b34",0.0387878341483349,"BLCA","tumor"
"b93811d6-f95f-4fc3-96dc-d4eda78b1d35",0.580908744877024,"BLCA","tumor"
"94491627-b82b-4986-9137-ff5b2d2e1336",0.359919047466512,"BLCA","tumor"
"8dbe419e-a360-4493-ac3b-c145887d9237",0.084901668601119,"BLCA","tumor"
"420503aa-3799-4816-beec-0b4d05988d38",0.0613316402278105,"BLCA","tumor"
"9abad2ad-cb06-4432-bfdf-2eeab5a82338",0.0905710378217997,"BLCA","tumor"
"10e7ffa0-f8be-43ab-b81c-d4c9e8d5423b",0.0248955203705226,"BLCA","tumor"
"fcee7969-abfa-4898-acfb-194e82661a3c",0.0516207745591616,"BLCA","tumor"
"48110f78-ffe7-40a9-be96-cd01d271e13d",0.278579183651942,"BLCA","tumor"
